id,first_name,last_name,smoker,race,county,num_children,income,complications,age_group,ssn
1,Agnese,Ward,true,race2,,3,34158,6,group1,640-55-1881
2,Winny,Ward,true,race3,county1,4,96880,10,group2,621-26-2845
3,Lazarus,Elliott,false,,county1,0,109679,1,group3,
4,Owen,Hawkins,false,,county3,3,119566,6,group3,
5,Sapphira,Watson,true,race3,county1,3,294970,10,group1,819-41-9160
6,Syman,Hawkins,true,race1,county3,4,28899,6,group3,761-95-1363
7,Bathsheba,Brooks,false,race1,county3,1,58192,5,group3,452-97-3911
8,Sonnie,Cannon,true,race1,county4,1,291792,7,group3,413-59-9424
9,Christian,Scott,true,race1,county3,0,43473,7,group3,469-14-4864
10,Adey,Hawkins,false,race1,county1,2,282467,7,group3,256-62-0680
11,Karlie,Elliott,false,race1,county4,5,207916,7,group1,193-71-5395
12,Velvet,Waters,false,race2,county1,1,71571,4,group1,353-87-0672
13,Miles,Lawson,,race3,county1,1,165139,4,group3,482-04-7620
14,Trix,Watson,false,race3,county2,4,50727,9,group2,866-47-3296
15,Tully,Casey,true,race2,county3,5,93837,10,group3,246-51-6367
16,Ollie,Scott,true,race1,county1,1,222338,0,group3,194-57-5952
17,Orelee,Quinn,false,race2,county3,4,104794,8,group3,742-52-6497
18,Frants,Frank,false,race1,county3,3,101896,4,group1,514-98-1373
19,Mignon,Hale,,race2,,5,145671,7,group2,272-58-0915
20,Bobina,Watson,,race2,county3,4,271349,6,group1,734-82-0686
21,Devlin,Hoffman,true,race1,county1,4,252974,9,group2,745-71-9494
22,Elane,Lawson,false,race1,county1,4,163077,5,group3,367-58-3753
23,Ashely,Owen,false,race2,county3,3,59598,2,group3,278-98-4164
24,Rochell,Le,false,race2,county3,2,44089,9,group1,214-41-2072
25,Nanete,Casey,false,race3,county1,5,177290,6,group2,490-28-4371
26,Gabrielle,Frank,,race3,,1,229828,10,group1,160-73-4122
27,Dimitri,Le,false,race1,county2,0,237501,1,group1,498-29-9454
28,Luke,Cervantes,true,race1,county3,4,259628,0,group2,519-23-7526
29,Chery,Elliott,false,race2,county3,0,17564,2,group3,356-89-9797
30,Marianna,Waters,true,race3,county1,3,162323,8,group2,529-78-6363
31,Jillane,Hoffman,false,,county4,5,24586,9,group1,
32,Kalila,Cannon,false,race2,county2,1,233069,0,group1,856-06-5155
33,Selle,Hale,true,,county1,1,204123,1,group2,512-38-1131
34,Terra,Waters,false,race1,county1,4,296510,7,group2,859-24-9425
35,Dall,Le,true,race1,county4,3,156541,10,group2,314-35-3111
36,Osborne,Pollard,false,race3,county1,3,239160,4,group3,153-25-4232
37,Vasily,Hale,false,,county1,4,221232,6,group3,281-48-5993
