smoker,complications,ssn
True,6,640-55-1881
True,10,621-26-2845
True,10,819-41-9160
True,6,761-95-1363
False,5,452-97-3911
True,7,413-59-9424
True,7,469-14-4864
False,7,256-62-0680
False,7,193-71-5395
False,4,353-87-0672
?,4,482-04-7620
False,9,866-47-3296
True,10,246-51-6367
True,0,194-57-5952
False,8,742-52-6497
False,4,514-98-1373
?,7,272-58-0915
?,6,734-82-0686
True,9,745-71-9494
False,5,367-58-3753
False,2,278-98-4164
False,9,214-41-2072
False,6,490-28-4371
?,10,160-73-4122
False,1,498-29-9454
True,0,519-23-7526
False,2,356-89-9797
True,8,529-78-6363
False,0,856-06-5155
True,1,512-38-1131
False,7,859-24-9425
True,10,314-35-3111
False,4,153-25-4232
False,6,281-48-5993
True,6,785-69-3238
?,9,114-82-3383
True,2,467-20-9432
False,1,294-87-9348
False,1,512-54-1238
True,4,665-87-2467
True,5,295-98-4371
False,10,183-06-4409
False,6,276-20-0802
False,9,328-19-0466
True,3,844-31-9800
False,10,708-54-6929
False,4,198-91-3629
True,10,516-95-3538
False,7,454-88-4740
False,4,200-27-2695
False,0,673-59-8982
False,10,790-13-6105
True,3,355-72-6526
False,9,111-96-7618
False,2,212-93-2763
True,6,482-56-3546
False,1,147-21-1023
False,2,556-08-2018
True,6,653-07-5182
False,5,187-22-4656
False,0,711-06-2571
False,0,231-67-3421
True,9,478-83-6291
True,5,412-25-0556
False,8,742-82-7874
True,1,212-21-5077
True,1,868-27-9676
False,7,286-17-2765
False,0,254-54-0996
False,4,669-61-5483
True,6,852-83-2966
False,5,613-77-3715
?,9,748-65-5254
True,7,354-02-4531
True,6,474-42-5392
True,6,134-03-5340
True,9,662-01-2081
False,10,410-49-8422
True,1,170-02-1048
True,9,538-06-8227
?,2,147-11-4970
True,4,643-75-6824
False,8,137-01-0061
True,3,149-66-6742
False,10,278-77-8773
True,7,707-66-2066
True,3,285-60-2284
False,2,720-59-7183
True,7,616-17-2191
False,2,134-60-4679
True,5,480-54-5874
False,4,343-68-5148
False,1,262-20-8363
False,6,832-24-8497
True,1,735-49-2740
False,5,754-50-9261
True,2,624-88-5242
False,1,468-66-6515
False,0,431-23-9012
?,9,690-08-6375
False,3,637-20-8677
False,7,643-91-8355
True,2,645-73-0750
False,2,504-06-8105
?,1,579-72-0687
False,2,893-77-2293
True,2,553-93-2140
?,6,334-51-2279
True,2,299-58-3182
True,4,260-63-6309
False,6,745-27-1782
?,5,434-03-3411
False,5,760-53-5577
True,2,431-82-3940
True,3,575-91-8880
False,7,783-27-5009
True,6,637-39-5577
False,4,685-25-6885
False,5,812-29-1519
True,1,487-99-6096
True,10,410-20-0904
True,5,518-88-6810
False,10,508-51-0150
False,4,473-81-2227
True,6,504-26-3246
True,7,369-09-7256
?,1,534-49-5426
?,5,436-84-2786
True,2,411-52-8284
True,9,770-24-7205
False,0,658-81-4532
False,10,855-81-1367
True,7,869-89-1533
False,2,256-81-9768
True,6,514-71-9465
True,0,640-35-8596
True,5,437-61-0453
True,0,318-67-1035
True,9,280-89-4953
True,9,698-58-5676
True,2,653-48-9285
True,5,796-64-3971
True,10,242-02-2149
False,9,430-23-4683
True,8,553-47-3021
False,5,244-40-0076
True,8,821-04-8712
True,6,846-32-8232
False,9,399-06-9129
True,7,131-05-8686
False,0,333-58-2424
True,1,836-85-4425
True,9,232-58-7089
True,2,842-52-5243
False,8,447-87-3829
True,5,161-54-4147
?,1,463-37-3926
True,4,580-84-5748
True,0,889-24-4360
False,8,597-44-1545
False,6,895-02-7134
True,5,643-38-7349
True,4,787-12-3355
True,9,330-16-8306
False,0,174-61-5962
True,4,118-79-4889
True,4,111-36-3211
True,9,884-71-0005
True,7,859-41-3100
False,1,304-71-7254
True,0,661-98-9297
False,6,165-36-6289
True,3,859-62-0015
False,4,435-15-6699
False,7,153-98-5009
False,3,813-65-2927
True,6,436-43-3042
True,1,116-81-4203
True,9,519-05-8171
False,1,172-20-8194
False,0,267-54-5300
True,8,701-52-0072
True,7,478-46-2995
False,0,152-44-7696
False,10,567-11-4541
True,2,846-82-6631
True,0,288-74-3813
True,10,288-80-9492
False,10,800-35-7401
?,2,377-95-4973
True,2,232-69-0363
False,7,492-51-3515
True,10,533-38-0422
True,6,460-31-4556
False,9,103-90-2868
True,9,892-30-9471
False,0,663-11-6955
False,7,634-62-0249
?,2,141-50-6898
False,3,667-70-8678
True,10,432-15-0311
True,5,260-12-4687
False,6,858-30-9285
False,7,209-78-6511
False,2,741-08-9412
True,10,146-17-3977
True,1,774-82-5332
True,4,440-05-3561
True,9,705-32-3052
True,10,748-44-2974
True,4,780-41-8774
True,7,809-88-9256
False,1,293-74-4155
True,1,882-26-5669
True,3,402-15-3079
False,9,795-46-9641
False,7,360-27-0517
True,6,635-23-6522
True,9,363-90-2086
False,9,512-82-3446
False,5,130-87-0545
True,0,641-45-9000
True,9,590-15-8561
False,6,444-03-4269
False,0,835-82-6903
False,5,358-57-6222
?,8,859-89-4049
True,1,194-81-1446
True,5,406-81-7478
False,9,551-14-9751
True,5,774-12-4116
False,7,820-61-5760
False,10,698-81-8980
True,5,537-19-1461
True,3,231-25-6381
True,7,814-60-6506
False,5,575-18-8100
True,5,832-24-1445
False,6,504-56-5177
False,6,270-61-7835
True,6,685-29-5509
True,7,705-99-3976
True,2,572-98-6948
True,0,840-43-3321
False,3,609-75-9262
False,7,531-48-2590
False,0,734-94-5179
True,0,862-61-3630
False,4,564-87-9551
True,6,321-45-9556
False,10,839-23-5111
?,2,325-23-0864
False,7,597-62-3680
True,10,342-40-5709
False,4,836-68-0546
True,2,187-79-5547
?,9,711-57-2916
False,1,199-26-6065
True,2,484-72-9069
False,7,756-58-8266
True,9,693-33-5373
?,9,449-35-0545
False,3,878-45-2691
False,10,358-37-3776
False,8,306-81-4856
True,4,783-68-1500
False,4,711-77-1510
False,0,569-75-7034
True,4,835-87-2017
True,5,452-05-9727
True,9,141-92-8234
True,1,307-51-4844
True,0,276-79-8467
False,5,783-04-2063
True,2,108-64-0826
True,9,511-53-3765
True,10,219-47-6706
False,6,116-36-5553
False,1,717-43-7969
True,7,200-99-2666
True,3,370-24-3352
?,10,302-08-7137
True,10,340-86-8150
False,2,201-19-0088
False,0,259-31-4868
False,6,343-13-2101
True,7,683-87-6775
True,10,366-53-7902
False,7,300-06-1842
?,2,495-28-0602
True,1,387-43-0014
True,10,800-51-2866
True,10,863-06-0947
?,1,273-15-0090
True,2,620-81-1847
True,4,205-28-3378
?,3,119-20-0672
True,4,724-69-7447
False,10,422-51-8295
False,5,824-12-6895
True,8,208-41-3505
False,4,474-25-9013
False,10,700-06-9100
False,7,496-72-9478
True,10,581-66-6052
True,10,743-50-8973
False,4,642-52-5849
True,10,563-59-7445
False,4,769-59-5091
False,4,713-85-6933
True,6,573-46-3739
True,6,409-43-9870
False,9,438-22-6453
True,1,602-96-2422
False,6,716-38-3438
True,2,204-48-0959
False,10,169-81-3482
False,8,705-64-2779
False,0,655-68-4611
True,6,638-63-8221
False,0,503-91-5482
False,10,637-69-3206
True,4,759-50-8379
False,1,215-70-0554
False,5,291-33-8161
True,10,654-74-6772
True,1,754-30-4538
True,6,556-87-8920
True,6,307-57-4988
False,0,551-78-5503
False,4,634-46-6685
False,8,641-74-0190
False,6,632-92-0569
True,0,172-52-9844
True,8,726-99-2269
?,3,131-06-2659
False,9,456-65-1732
False,8,257-59-4193
False,5,729-80-8870
True,4,250-14-5665
True,8,395-69-6827
False,5,215-47-5981
False,8,115-97-6843
True,10,163-77-4830
True,0,488-54-8831
False,10,613-21-1845
True,4,560-33-8897
False,1,653-57-6487
True,1,484-88-9574
True,8,498-64-8430
False,3,347-09-5810
False,8,363-51-7041
False,9,439-22-4879
False,4,884-09-2523
False,9,749-19-7809
False,5,365-92-1941
False,2,238-67-4589
False,10,738-18-4574
False,2,843-42-6437
False,5,881-10-8640
?,5,307-12-1600
False,3,881-33-4777
False,8,786-62-1922
False,7,330-17-3281
False,2,223-04-8394
?,4,512-43-0458
False,8,508-80-9905
False,1,637-08-3796
?,4,563-51-1059
False,5,812-67-6928
?,1,115-84-7620
False,5,392-08-3975
True,2,792-43-1952
True,8,237-10-3588
False,4,634-17-6109
?,5,518-36-7723
True,0,758-57-9998
False,0,408-74-5371
False,8,530-79-7039
True,10,425-67-9278
True,9,193-86-9979
False,0,761-54-6000
True,1,859-51-0311
False,4,794-12-0184
False,4,885-01-1788
True,0,582-49-5895
False,10,115-15-2594
False,6,635-49-7647
True,10,768-35-1364
True,8,711-50-0678
True,4,377-57-7284
True,5,317-31-4372
?,2,267-54-7980
False,7,806-27-9879
?,4,690-88-8790
True,2,119-43-8428
False,0,713-92-8157
True,2,488-64-6881
True,2,399-41-2535
False,0,411-20-1463
False,8,468-86-7931
True,10,783-79-8746
True,7,573-47-2630
False,9,534-33-4165
True,10,746-62-1854
True,9,891-24-7157
False,7,326-25-3190
True,6,297-54-5399
True,5,359-41-7657
True,4,673-44-7278
?,3,605-83-2019
True,10,788-60-9883
False,3,726-08-2799
False,6,662-09-5786
False,9,114-02-1545
True,8,140-70-9458
False,1,302-38-8359
False,0,846-54-3684
True,6,165-07-4053
False,7,833-92-9771
False,7,478-47-2416
False,1,544-37-3961
True,2,868-89-4046
False,6,644-57-6654
False,7,334-53-4913
True,10,621-82-6126
False,10,308-57-3372
True,2,341-41-8225
False,10,592-27-5671
False,5,305-10-4344
True,3,667-04-2662
True,3,881-05-9858
False,2,597-35-4198
True,9,765-16-3736
True,3,612-33-0935
False,4,411-72-6036
True,2,616-99-5062
True,5,468-54-0444
False,1,843-21-9072
True,0,322-93-6434
True,8,850-73-5968
True,6,209-82-7842
False,2,585-36-4746
True,0,252-31-0883
False,6,384-29-2372
False,4,251-04-9548
False,1,533-53-5874
False,10,458-54-2848
False,5,208-38-2008
True,7,548-28-8955
False,4,225-03-7405
True,2,788-77-0887
True,3,522-91-5227
True,10,197-19-1184
?,8,515-79-5225
True,4,885-12-8667
True,4,812-54-2591
False,0,895-62-1892
False,4,455-39-5007
True,8,817-93-2544
False,1,777-16-0362
True,3,381-57-0909
True,5,373-41-3424
True,7,822-40-0269
True,2,641-80-0061
False,7,393-93-3831
True,7,283-38-2061
False,3,855-61-3020
True,5,847-08-0130
True,1,371-41-3345
True,5,836-46-6110
True,0,377-76-8470
?,2,219-25-7465
False,1,614-96-7307
True,9,200-69-3647
False,0,600-77-7464
True,4,843-69-9520
False,9,500-46-3766
?,9,753-33-0967
?,6,871-94-7439
False,9,737-81-6241
False,1,640-20-6929
False,2,593-52-6350
True,9,250-65-2939
False,8,242-84-2087
False,5,401-74-2809
True,4,438-80-1550
False,10,688-36-8713
?,4,762-64-1278
False,5,387-79-5264
True,7,683-14-6446
True,0,337-28-5329
True,10,499-66-4309
False,7,519-79-8788
False,5,325-36-1465
False,1,725-54-7967
False,3,850-39-8879
True,4,495-79-2690
True,1,724-29-9105
False,2,651-34-4843
False,4,662-64-1643
True,0,216-04-8508
True,5,132-13-8709
True,6,101-75-6087
False,1,202-07-0410
True,9,785-65-4481
True,10,882-21-9376
False,8,346-04-3907
False,0,212-87-3509
False,7,732-49-4693
True,1,144-09-5308
True,4,793-40-8157
True,6,268-62-5813
?,2,883-17-1659
True,2,663-24-2119
?,10,773-20-8295
False,0,522-61-9675
False,2,773-75-9492
True,10,541-72-2851
False,10,261-42-6502
False,2,663-73-4400
False,2,732-74-5687
True,1,324-38-2078
True,9,158-86-7074
True,9,261-25-6357
True,10,784-06-9875
?,3,197-04-7756
True,9,676-46-4853
True,4,679-25-5507
?,3,542-63-5155
True,0,490-87-9555
True,4,655-21-6773
True,8,320-03-7592
False,9,897-15-0871
False,1,397-87-2174
True,6,742-23-6014
False,3,290-24-6495
False,9,503-70-3990
True,6,636-46-7074
False,0,547-03-5675
False,10,401-45-2915
False,2,772-12-3838
False,2,512-76-7252
False,6,509-99-1875
True,5,791-11-0985
False,0,429-64-6172
True,8,442-45-1500
?,5,674-41-8734
False,2,112-69-2457
False,4,467-07-4497
False,3,276-23-1954
False,5,699-17-5979
False,3,641-69-4416
False,6,470-02-5715
True,3,194-97-1318
False,9,378-94-1977
False,2,814-38-3127
?,0,808-52-2375
?,4,181-10-0511
True,1,835-21-7642
?,7,374-42-0474
True,8,426-70-3927
True,5,505-09-0416
False,3,195-24-8603
False,5,461-14-9797
False,5,527-19-6513
True,5,639-61-5577
True,1,100-99-9271
True,6,488-52-6182
False,8,230-37-9967
True,8,868-52-2482
False,8,882-63-2047
True,1,144-37-3700
True,8,866-81-1294
False,3,690-99-0079
True,0,356-61-0236
True,8,190-83-8294
?,5,516-21-5738
True,4,623-76-3499
False,5,144-29-6252
False,1,673-15-3641
False,9,229-55-2157
False,3,833-16-6256
True,2,246-77-5030
True,6,764-17-1239
True,6,172-49-8971
True,9,209-68-9608
False,3,385-32-6045
False,10,551-13-9229
True,9,718-70-7726
True,2,471-59-4314
True,2,573-08-9027
True,10,566-87-2017
True,5,885-83-7779
True,7,404-94-6578
False,10,595-77-5383
False,1,433-18-7125
False,5,525-36-0231
False,1,571-87-3022
True,7,717-11-3417
True,9,284-72-3788
True,2,244-27-1900
False,6,396-80-8842
False,1,516-48-9090
True,1,364-14-5995
True,7,553-64-0810
True,5,507-64-3743
False,4,388-79-1043
False,6,366-60-5539
True,6,330-47-6416
False,8,683-57-4499
False,2,646-34-8427
False,8,543-35-5524
False,1,604-45-7987
False,5,636-56-7735
True,7,107-09-1465
True,0,120-40-1661
False,1,557-36-9952
False,9,607-84-7577
True,0,658-73-3192
True,2,491-01-6385
False,3,399-64-6921
True,5,165-45-0424
False,6,703-87-7246
True,4,537-97-1936
False,3,472-98-3022
False,0,856-42-7039
False,6,696-75-9746
False,1,714-07-6871
True,7,289-48-1793
True,6,310-43-2156
False,2,152-42-7657
False,10,314-32-7245
True,10,571-77-1842
True,2,359-63-6401
True,1,888-11-6522
True,1,592-90-7105
?,9,245-10-9429
False,8,658-33-1417
False,3,152-03-1026
False,2,407-95-5305
True,6,671-01-2383
True,7,201-74-8841
True,5,202-64-3357
True,5,621-73-4770
True,1,523-95-7493
False,0,111-27-4144
True,7,535-26-5954
False,9,376-33-1248
False,9,650-54-7822
True,2,744-09-6011
False,9,202-99-2201
?,7,572-04-4000
True,5,576-23-1337
True,8,163-69-7560
False,10,752-60-5622
False,8,204-62-9302
True,3,896-76-1905
True,3,182-25-3950
True,1,839-82-1123
True,3,851-63-2934
True,4,182-39-5435
True,8,177-02-3628
False,2,290-98-3790
False,10,834-31-0602
True,3,675-63-0515
False,1,273-38-6610
True,4,805-89-8682
True,8,259-24-2917
False,10,442-67-3572
True,8,339-68-1978
?,10,156-77-2940
True,1,331-41-1724
True,10,449-21-5873
True,0,176-25-7815
False,9,328-97-0329
True,2,450-25-5308
False,4,716-52-2082
True,5,556-92-0429
True,7,470-60-4440
False,3,627-68-0274
False,9,250-81-4488
True,9,479-42-9988
True,0,332-56-8153
?,8,465-67-5819
?,5,897-67-1877
True,9,451-77-1009
True,8,811-20-1781
?,2,456-93-9221
True,5,303-24-9311
True,1,257-19-4550
True,2,261-60-4933
True,4,639-19-8119
False,0,352-14-0928
True,7,258-45-4872
False,4,484-23-0409
False,5,896-53-5834
True,7,652-45-9262
True,8,175-77-8687
False,4,171-33-2167
False,8,876-26-9930
True,7,293-02-1911
False,0,546-41-2719
False,9,495-05-1707
True,2,458-32-9503
False,10,627-27-8626
False,8,137-23-1902
False,1,251-24-8178
True,9,329-19-6746
True,1,547-21-5342
True,2,723-71-0387
True,10,749-61-6951
False,4,534-91-7646
True,3,329-78-6324
False,4,743-12-1047
True,6,646-43-1025
False,6,574-85-5957
False,8,242-29-7170
True,1,803-89-3182
False,7,358-61-5710
?,1,792-92-9795
True,3,759-57-8381
False,2,189-97-5756
False,7,235-61-6953
True,8,492-74-5082
True,5,691-05-4827
True,2,711-55-3230
True,6,100-44-2731
False,4,298-27-7654
False,9,430-33-1910
True,2,204-22-1053
False,2,362-46-3628
True,1,145-56-3313
True,0,186-58-4429
True,1,365-25-3588
True,4,324-84-4264
?,4,426-58-3187
?,10,678-28-5965
False,4,458-07-3200
True,6,828-85-8234
False,5,722-07-2412
False,0,621-94-5831
False,10,372-29-3371
?,4,147-49-1569
True,3,730-29-5478
?,2,533-05-2843
False,5,549-99-0275
True,6,446-10-2082
False,7,153-27-8567
True,6,524-07-0137
False,5,362-84-9953
True,10,441-28-6086
False,3,299-29-7872
False,4,224-96-8790
False,5,820-83-7089
False,6,302-59-8225
True,2,376-11-7757
False,0,408-67-1788
True,6,439-19-9415
False,1,363-87-4974
True,4,101-71-2335
True,4,506-10-9349
False,5,506-02-0348
False,5,786-15-1940
True,1,418-86-8974
True,1,244-43-1259
True,4,115-65-1832
True,8,485-16-0849
False,8,564-47-0171
True,8,522-61-8305
False,7,511-13-5410
True,8,515-80-8200
True,10,812-95-1163
False,3,296-79-8053
False,3,450-78-8417
True,7,725-34-7379
False,1,843-86-7299
False,4,868-20-6341
False,9,230-53-2631
True,4,690-25-3108
False,6,480-57-1285
False,9,217-32-5351
True,6,359-74-6954
False,10,236-60-8696
False,2,563-01-3806
False,3,408-18-6602
True,4,148-23-6013
True,4,829-04-1949
True,5,655-04-2032
True,1,628-98-7585
False,7,117-08-2415
False,6,607-57-8749
False,2,816-53-1475
False,9,612-49-6835
True,9,583-46-0950
?,8,342-19-1554
False,6,285-11-3490
False,0,725-47-4880
False,10,181-85-2541
False,3,531-07-9258
False,0,173-53-0941
?,1,839-90-4602
True,2,178-65-5993
?,2,506-92-4541
False,2,887-90-0876
False,8,439-36-4391
True,2,374-20-0625
False,1,707-92-7130
True,1,495-47-5233
True,1,811-09-0164
True,1,874-41-7684
False,9,249-99-9462
?,6,459-81-1601
False,5,725-96-6151
False,3,770-09-0848
False,7,247-19-2796
False,2,263-03-4440
True,0,882-65-2686
False,7,331-37-8589
False,3,243-64-2246
False,6,241-59-3329
False,10,331-25-1835
?,5,637-51-4167
False,2,101-57-6060
True,2,130-94-4927
True,1,738-01-2700
True,0,710-66-0817
True,5,114-39-5370
True,9,298-08-3361
False,7,161-72-3413
True,5,560-77-6824
?,2,284-29-0434
True,3,172-59-8507
True,5,590-56-1891
True,6,413-61-6438
True,8,690-70-3281
False,10,131-86-6528
True,2,144-55-5228
False,4,448-10-0570
False,2,109-64-0528
True,3,369-56-9141
True,3,630-57-8526
True,3,519-84-5307
True,8,899-99-1397
False,1,302-32-9494
?,6,626-50-3101
True,7,257-50-5306
False,7,194-39-1071
False,0,609-79-1281
False,5,292-79-0219
False,9,819-20-4221
False,9,525-34-6179
