id,first_name,last_name,race,county,num_children,income,age_group,ssn
1,Agnese,Ward,race2,?,3,34158,group1,640-55-1881
2,Winny,Ward,race3,county1,4,96880,group2,621-26-2845
3,Lazarus,Elliott,?,county1,0,109679,group3,?
4,Owen,Hawkins,?,county3,3,119566,group3,?
5,Sapphira,Watson,race3,county1,3,294970,group1,819-41-9160
6,Syman,Hawkins,race1,county3,4,28899,group3,761-95-1363
7,Bathsheba,Brooks,race1,county3,1,58192,group3,452-97-3911
8,Sonnie,Cannon,race1,county4,1,291792,group3,413-59-9424
9,Christian,Scott,race1,county3,0,43473,group3,469-14-4864
10,Adey,Hawkins,race1,county1,2,282467,group3,256-62-0680
11,Karlie,Elliott,race1,county4,5,207916,group1,193-71-5395
12,Velvet,Waters,race2,county1,1,71571,group1,353-87-0672
13,Miles,Lawson,race3,county1,1,165139,group3,482-04-7620
14,Trix,Watson,race3,county2,4,50727,group2,866-47-3296
15,Tully,Casey,race2,county3,5,93837,group3,246-51-6367
16,Ollie,Scott,race1,county1,1,222338,group3,194-57-5952
17,Orelee,Quinn,race2,county3,4,104794,group3,742-52-6497
18,Frants,Frank,race1,county3,3,101896,group1,514-98-1373
19,Mignon,Hale,race2,?,5,145671,group2,272-58-0915
20,Bobina,Watson,race2,county3,4,271349,group1,734-82-0686
21,Devlin,Hoffman,race1,county1,4,252974,group2,745-71-9494
22,Elane,Lawson,race1,county1,4,163077,group3,367-58-3753
23,Ashely,Owen,race2,county3,3,59598,group3,278-98-4164
24,Rochell,Le,race2,county3,2,44089,group1,214-41-2072
25,Nanete,Casey,race3,county1,5,177290,group2,490-28-4371
26,Gabrielle,Frank,race3,?,1,229828,group1,160-73-4122
27,Dimitri,Le,race1,county2,0,237501,group1,498-29-9454
28,Luke,Cervantes,race1,county3,4,259628,group2,519-23-7526
29,Chery,Elliott,race2,county3,0,17564,group3,356-89-9797
30,Marianna,Waters,race3,county1,3,162323,group2,529-78-6363
31,Jillane,Hoffman,?,county4,5,24586,group1,?
32,Kalila,Cannon,race2,county2,1,233069,group1,856-06-5155
33,Selle,Hale,?,county1,1,204123,group2,512-38-1131
34,Terra,Waters,race1,county1,4,296510,group2,859-24-9425
35,Dall,Le,race1,county4,3,156541,group2,314-35-3111
36,Osborne,Pollard,race3,county1,3,239160,group3,153-25-4232
37,Vasily,Hale,?,county1,4,221232,group3,281-48-5993
38,Blair,Cervantes,race3,county1,3,211964,group1,785-69-3238
39,Margaux,Cannon,race3,county1,5,52994,group2,114-82-3383
40,Melita,Watson,race2,county4,5,52943,group2,467-20-9432
41,Shelia,Owen,race2,county2,2,155705,group2,294-87-9348
42,Stavro,Quinn,race1,county4,4,21197,group1,512-54-1238
43,Wandie,Elliott,race2,county1,1,242668,group1,665-87-2467
44,Sarina,Scott,race1,county3,3,142894,group1,295-98-4371
45,Michele,Hoffman,race2,county3,5,109882,group1,183-06-4409
46,Gerrie,Elliott,race3,county1,3,167791,group2,276-20-0802
47,Lamont,Quinn,race1,county2,5,270373,group1,328-19-0466
48,Teriann,Owen,race1,county3,0,65127,group2,844-31-9800
49,Brigg,Cannon,?,county1,0,75330,group1,?
50,Jillie,Elliott,race2,county2,3,203076,group3,708-54-6929
51,Bevin,Hoffman,race1,county1,1,28103,group2,198-91-3629
52,Devina,Watson,race2,county2,4,145768,group2,516-95-3538
53,Malissia,Hawkins,race2,county3,3,112443,group3,454-88-4740
54,Caprice,Hawkins,race1,county4,5,248606,group3,200-27-2695
55,Sander,Lawson,?,county3,5,102775,group2,?
56,Thaddeus,Waters,race3,county1,3,115166,group2,673-59-8982
57,Kilian,Scott,?,county1,2,13872,group3,790-13-6105
58,Gianina,Cervantes,race2,county4,0,62332,group1,355-72-6526
59,Jacky,Elliott,?,county3,0,222949,group2,?
60,Marice,Hale,?,county2,0,13273,group1,?
61,Risa,Watson,race2,county1,2,158621,group3,111-96-7618
62,Nerti,Lawson,race3,county1,5,29213,group3,212-93-2763
63,Man,Frank,race1,county2,5,256220,group2,482-56-3546
64,Karalee,Elliott,race1,county1,3,206369,group2,147-21-1023
65,Ranna,Wilkerson,race3,county1,3,58714,group1,556-08-2018
66,Mick,Ward,race1,county2,1,287933,group2,653-07-5182
67,Vinnie,Hawkins,race3,county1,5,182187,group1,187-22-4656
68,Haroun,Watson,race2,county2,2,226934,group2,711-06-2571
69,Winni,Casey,?,county4,3,246923,group3,?
70,Rourke,Brooks,race2,county2,3,225084,group2,231-67-3421
71,Darrel,Wilkerson,race3,county1,0,45282,group1,478-83-6291
72,Izaak,Frank,race3,county1,4,253916,group1,412-25-0556
73,Leyla,Quinn,race2,county4,2,254265,group2,742-82-7874
74,Isidor,Cannon,race2,county4,1,241911,group1,212-21-5077
75,Zora,Kirk,race1,county2,1,273174,group2,868-27-9676
76,Trisha,Hale,race3,county1,1,116518,group3,286-17-2765
77,Ronnie,Owen,race2,county1,3,198916,group2,254-54-0996
78,Rowe,Quinn,race2,county1,2,47037,group2,669-61-5483
79,Rolph,Hoffman,race3,county1,5,91236,group3,852-83-2966
80,Geralda,Hawkins,race1,county2,1,206919,group3,613-77-3715
81,Phedra,Hoffman,race3,county1,1,58010,group2,748-65-5254
82,Claudio,Owen,race1,county3,3,186372,group3,354-02-4531
83,Jobey,Ward,race3,county1,2,53732,group3,474-42-5392
84,Christen,Elliott,race2,county2,0,231374,group1,134-03-5340
85,Dulsea,Pollard,?,county1,4,86989,group1,?
86,Bianka,Waters,race2,?,2,161765,group3,662-01-2081
87,Arlette,Hoffman,?,county1,0,12550,group3,?
88,Chrysa,Hawkins,?,county4,2,142714,group1,?
89,Sylvester,Cannon,race3,county1,1,104382,group2,410-49-8422
90,Darryl,Waters,race2,county4,0,265020,group2,170-02-1048
91,Mozes,Cervantes,race2,county4,3,221623,group2,538-06-8227
92,Georgi,Scott,race1,county3,2,278281,group1,147-11-4970
93,Thaddeus,Waters,race1,?,5,196806,group3,643-75-6824
94,Annecorinne,Hoffman,race2,county4,1,10648,group1,137-01-0061
95,Tanitansy,Pollard,race2,county2,0,54932,group3,149-66-6742
96,Bobbee,Quinn,race3,county1,4,226732,group1,278-77-8773
97,Ofella,Watson,race3,county1,5,264752,group2,707-66-2066
98,Miof mela,Lawson,race3,county1,5,299943,group1,285-60-2284
99,Kori,Hale,race1,county4,1,132688,group2,720-59-7183
100,Kort,Brooks,race2,county2,0,125092,group2,616-17-2191
101,Lana,Hoffman,race3,county1,0,209847,group1,134-60-4679
102,Case,Frank,race1,county4,0,23362,group1,480-54-5874
103,Guenna,Elliott,race2,county2,2,192333,group3,343-68-5148
104,Bernhard,Frank,race2,county3,2,154020,group3,262-20-8363
105,Gustavus,Brooks,race2,county2,1,272108,group3,832-24-8497
106,Harper,Hoffman,race1,county1,4,185558,group3,735-49-2740
107,Jard,Le,race3,county3,0,249030,group2,754-50-9261
108,Dulcinea,Hoffman,race3,county1,5,138108,group1,624-88-5242
109,Erminie,Pollard,race2,county4,2,36109,group3,468-66-6515
110,Reta,Brooks,race2,county1,4,204334,group2,431-23-9012
111,Derk,Pollard,race1,county2,3,205900,group3,690-08-6375
112,Danny,Owen,race2,county4,3,192298,group3,637-20-8677
113,Daphna,Wilkerson,race1,county3,1,144744,group3,643-91-8355
114,Rolando,Casey,race1,county1,1,135576,group3,645-73-0750
115,Hannis,Hoffman,race3,county1,4,174045,group3,504-06-8105
116,Mirabelle,Ward,race3,county1,4,157543,group2,579-72-0687
117,Mellisa,Quinn,race3,county1,0,114331,group3,893-77-2293
118,Jeremiah,Scott,race3,county1,2,276287,group2,553-93-2140
119,Michele,Elliott,?,county2,4,107465,group3,?
120,Abey,Elliott,race2,county4,0,68008,group1,334-51-2279
121,Etienne,Quinn,?,county2,2,34931,group2,?
122,Brooke,Quinn,race3,county1,5,122251,group2,299-58-3182
123,Moyra,Hoffman,race1,county2,4,99683,group1,260-63-6309
124,Angelica,Brooks,race1,county4,5,52387,group2,745-27-1782
125,Pier,Hale,race1,county2,0,17039,group3,434-03-3411
126,Suzann,Owen,race3,county1,5,264643,group1,760-53-5577
127,Birk,Lawson,race2,county1,2,202520,group2,431-82-3940
128,Waldemar,Elliott,race3,county1,1,195817,group3,575-91-8880
129,Logan,Le,race1,county2,5,250357,group3,783-27-5009
130,Collette,Ward,race2,county3,4,92172,group1,637-39-5577
131,Karol,Le,?,county1,2,279231,group3,685-25-6885
132,Aigneis,Le,race3,county1,4,184128,group1,812-29-1519
133,Clayton,Watson,race3,county1,2,266854,group2,487-99-6096
134,Avivah,Hoffman,race3,county1,4,48583,group1,410-20-0904
135,Fransisco,Owen,race2,county3,0,270403,group1,518-88-6810
136,Dewey,Waters,race3,county1,0,191678,group2,508-51-0150
137,Lilah,Casey,race1,county4,2,155143,group2,473-81-2227
138,Eustace,Waters,race1,?,3,241597,group2,504-26-3246
139,Cristie,Hoffman,race1,county1,3,269613,group1,369-09-7256
140,Hartley,Pollard,?,county1,2,292314,group1,534-49-5426
141,Shelley,Pollard,race1,county2,0,117658,group1,436-84-2786
142,Bastian,Lawson,race3,county1,5,87256,group3,411-52-8284
143,Ashla,Hawkins,race1,county4,1,214306,group1,770-24-7205
144,Aloin,Brooks,race2,county4,1,173951,group1,658-81-4532
145,Ebenezer,Frank,race2,?,3,276236,group1,855-81-1367
146,Nikita,Le,race3,county2,0,214182,group3,869-89-1533
147,Bridgette,Owen,race2,county3,0,85722,group3,256-81-9768
148,Dallis,Lawson,?,county2,1,264188,group1,?
149,Hendrika,Frank,?,county1,0,223175,group3,?
150,Osmond,Pollard,race3,county1,3,217651,group1,514-71-9465
151,Gweneth,Hawkins,race2,county3,4,113396,group1,640-35-8596
152,Diann,Ward,race3,county3,4,270658,group3,437-61-0453
153,Barbey,Hale,race3,county1,3,297407,group1,318-67-1035
154,Austin,Lawson,race3,county1,4,92367,group2,280-89-4953
155,Alwyn,Cannon,race2,county4,0,252657,group3,698-58-5676
156,Jose,Frank,race3,county1,4,176090,group3,653-48-9285
157,Krissy,Owen,race3,county1,4,66496,group2,796-64-3971
158,Boote,Owen,race2,county3,5,113087,group2,242-02-2149
159,Bette,Wilkerson,race1,county2,5,236118,group3,430-23-4683
160,Zsa zsa,Ward,?,county3,2,181188,group3,?
161,Marita,Owen,race2,county3,3,141656,group1,553-47-3021
162,Lelah,Hawkins,?,county1,5,19821,group1,244-40-0076
163,Jaine,Cannon,?,county3,3,89173,group3,?
164,Gaultiero,Watson,race3,county1,0,57767,group3,821-04-8712
165,Reba,Wilkerson,race2,county4,5,223432,group2,846-32-8232
166,Jehanna,Pollard,race1,county1,0,84732,group2,399-06-9129
167,Ashby,Frank,race1,county3,0,20853,group1,131-05-8686
168,Barth,Frank,race2,county2,4,139352,group3,333-58-2424
169,Hewett,Wilkerson,race2,county4,1,12230,group3,836-85-4425
170,Judie,Elliott,race2,county1,2,214902,group3,232-58-7089
171,Domenic,Waters,race3,county1,1,148274,group1,842-52-5243
172,Claudius,Hale,race3,county1,4,66313,group2,447-87-3829
